ds,y
2013-01-01,2404714.8963853614
2013-02-01,382460.82270435244
2013-03-01,4458770.268569774
2013-04-01,-8970599.816659326
2013-05-01,-6476022.285717572
2013-06-01,-6128634.194384137
2013-07-01,4132901.5030324543
2013-08-01,5391502.684262482
2013-09-01,183431.50846427027
2013-10-01,5318450.044823074
2013-11-01,4483588.64303529
2013-12-01,4828955.911522457
2014-01-01,-5735043.722976847
2014-02-01,-2547818.1650697384
2014-03-01,-4121887.669149791
2014-04-01,2466673.08135642
2014-05-01,6884856.5692102695
2014-06-01,12565011.003594015
2014-07-01,-8554430.369820992
2014-08-01,-6045196.617994085
2014-09-01,-3088938.3024100317
2014-10-01,-1016789.6924713058
2014-11-01,-2823210.295607077
2014-12-01,-11981688.26625086
2015-01-01,5995857.373805618
2015-02-01,2574656.656817345
2015-03-01,2913469.3268801924
2015-04-01,4655766.8752274765
2015-05-01,85811.5254745502
2015-06-01,-2435898.0995542584
2015-07-01,220939.35823210608
